predicted,test
10.20692574882357,10.25
8.84895522687939,10.68
9.229625291760193,9.0
10.533968433066388,14.03
6.848044258453993,7.9
12.053417380908792,13.63
13.565144066843242,13.68
7.571740580965303,7.3
8.84895522687939,7.23
8.629710721920418,11.0
8.369563729822545,8.91
8.84895522687939,7.97
10.060894047487176,10.84
10.533968433066388,10.04
10.533968433066388,10.53
11.170984618482713,11.02
9.108532035182384,9.99
7.169356508141655,7.45
10.583731308968215,11.55
9.229625291760193,8.95
7.257412435008146,7.3
9.108532035182384,10.68
10.533968433066388,10.96
7.257412435008146,7.28
8.369563729822545,8.46
7.169356508141655,6.87
21.942937082876295,25.02
9.108532035182384,8.23
5.445365316603139,4.97
10.533968433066388,9.9
8.629710721920418,9.0
11.170984618482713,10.47
9.229625291760193,7.47
7.22770772647266,7.27
9.756406968384534,11.71
13.75315590693775,12.65
7.001730824532536,6.74
10.82343850214852,9.4
9.229625291760193,7.86
8.38448653960821,9.55
8.84895522687939,8.8
7.571740580965303,8.09
10.279882990264293,11.71
9.229625291760193,9.07
10.533968433066388,10.56
8.629710721920418,9.81
12.000710070674366,10.45
7.847469308410417,8.7
6.456134595572836,6.56
9.229625291760193,9.86
7.571740580965303,6.78
8.49933560356871,9.24
9.756406968384534,9.47
9.748178931123315,9.58
6.848044258453993,6.51
13.498739213714252,13.73
9.229625291760193,8.93
13.697909295966298,14.27
14.2637830199876,13.1
13.697909295966298,14.03
6.171125312411496,6.29
5.445365316603139,6.68
8.629710721920418,9.12
13.697909295966298,10.17
8.629710721920418,9.41
8.38448653960821,8.96
5.964366683611115,6.33
5.964366683611115,6.87
8.629710721920418,8.28
18.700540367049527,18.57
7.847469308410417,6.32
9.229625291760193,7.91
9.229625291760193,9.24
7.257412435008146,6.48
7.22770772647266,8.14
6.848044258453993,6.52
9.478544424502244,9.6
7.257412435008146,7.29
10.284875230946472,10.6
7.847469308410417,7.58
9.791336459081219,7.79
13.325642053973944,14.2
7.8851817059514,7.78
8.84895522687939,9.36
13.75315590693775,18.57
6.456134595572836,6.68
6.171125312411496,6.52
8.090135686476076,6.34
6.456134595572836,6.06
13.697909295966298,12.36
9.748178931123315,9.58
7.8851817059514,8.38
11.71009280999916,10.94
8.84895522687939,6.64
5.5868394641393175,5.4
9.229625291760193,9.55
7.850844250112016,7.56
9.791336459081219,9.94
8.135096965937354,7.81
9.229625291760193,9.54
9.229625291760193,8.95
11.812904004838094,11.02
9.970886467529123,14.28
7.169356508141655,6.76
8.629710721920418,7.2
8.49933560356871,8.16
7.001730824532536,7.17
7.001730824532536,6.68
4.992131095888583,4.19
5.964366683611115,5.65
8.84895522687939,8.95
9.108532035182384,8.53
12.000710070674366,18.44
46.16326587243842,14.27
10.284875230946472,13.03
5.5868394641393175,4.6
8.38448653960821,8.68
9.748178931123315,9.31
11.812904004838094,11.66
8.369563729822545,8.95
9.108532035182384,7.74
5.964366683611115,5.46
8.135096965937354,7.78
6.355514533180224,6.14
10.76545249030749,9.85
8.38448653960821,8.37
18.700540367049527,11.56
14.096914145275177,12.83
8.629710721920418,9.45
12.961259950874798,13.13
6.456134595572836,5.77
8.090135686476076,8.08
8.06798197191107,10.75
8.38448653960821,8.2
7.169356508141655,6.77
8.135096965937354,7.93
13.498739213714252,13.69
14.65000207727267,16.04
4.338229095865576,5.07
10.82343850214852,10.47
8.84895522687939,10.43
6.456134595572836,7.33
5.326955762924391,5.02
9.108532035182384,8.73
9.478544424502244,10.16
10.583731308968215,10.37
7.571740580965303,7.3
9.359618208583667,9.63
8.84895522687939,10.17
10.82343850214852,15.0
8.06798197191107,8.4
5.445365316603139,5.16
9.108532035182384,9.43
22.764994641624845,17.43
9.108532035182384,7.13
12.000710070674366,10.74
7.22770772647266,6.76
7.22770772647266,5.96
