lat,lon,認可施設.事業所等名,利用定員,所在地,電話番号,公私,設置主体,施設の類型,開設時間.平日.,受入可能年齢,特別保育の実施状況
35.17697,136.946268,ぽかぽか保育室　若水,10,愛知県名古屋市千種区若水二丁目2,739-5336,私立,株式会社,小規模保育事業B型,午前7時30分から午後6時30分,産休あけから2歳,
35.172077,136.940748,ニチイキッズ今池保育室,15,愛知県名古屋市千種区内山二丁目11,744-0236,私立,株式会社,小規模保育事業B型,午前7時30分から午後6時30分,産休あけから2歳,
NA,NA,YMCAこひつじ保育室,19,愛知県名古屋市千種区春岡1丁目2,757-5530,私立,学校法人,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
35.160639,136.922376,はなのこ保育室,10,愛知県名古屋市千種区吹上一丁目2,753-6780,私立,社会福祉法人,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
35.163994,136.927639,ウィズブック保育室　千種,19,愛知県名古屋市千種区千種一丁目23,744-1755,私立,株式会社,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
35.162816,136.984212,スター・キッズ　星ヶ丘,19,愛知県名古屋市千種区星が丘山手911,715-7933,私立,個人,小規模保育事業A型,午前7時30分から午後6時30分,6ヶ月から2歳,
NA,NA,東保育園,100,愛知県名古屋市東区筒井町4,935-1871,公立,名古屋市,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育,子育て支援センター,休日保育
35.190316,136.959698,砂田橋保育園,90,愛知県名古屋市東区砂田橋三丁目2,721-9932,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育,子育て支援センター
35.183986,136.91254,清瀧保育園,110,愛知県名古屋市東区白壁二丁目5,951-7463,私立,宗教法人,保育所,午前7時15分から午後7時15分,12ヶ月から5歳,延長保育,一時保育
35.190721,136.95351,大幸保育園,167,愛知県名古屋市東区大幸四丁目12,711-1893,私立,宗教法人,保育所,午前7時30分から午後6時30分,産休あけから5歳,入所予約
NA,NA,ルナ保育園,30,愛知県名古屋市東区橦木町3,938-0015,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから3歳,延長保育
35.181066,136.931142,エンジェル保育園,60,愛知県名古屋市東区新出来一丁目4,936-9331,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから5歳,延長保育,入所予約
35.177309,136.923997,スター保育園,40,愛知県名古屋市東区代官町24,936-0121,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから3歳,延長保育
35.177476,136.92769,葵保育園,90,愛知県名古屋市東区筒井一丁目12,938-3390,私立,社会福祉法人,保育所,午前7時15分から午後7時15分,6ヶ月から5歳,延長保育
35.190636,136.946996,ジョイフルドーム前保育園,120,愛知県名古屋市東区大幸一丁目1,719-0711,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,6ヶ月から5歳,延長保育
35.174593,136.912269,泉の杜保育園,60,愛知県名古屋市東区泉一丁目21,963-5022,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,6ヶ月から5歳,延長保育
35.198501,136.942916,やだ保育園,60,愛知県名古屋市東区矢田三丁目4,768-6510,私立,社会福祉法人,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育,入所予約
NA,NA,小規模保育事業保育ルームルナ1徳川,15,愛知県名古屋市東区徳川一丁目10ー35,938-0020,私立,社会福祉法人,小規模保育事業B型,午前7時30分から午後6時30分,産休あけから2歳,
35.174825,136.920266,小規模保育事業保育ルームルナ5高岳,15,愛知県名古屋市東区代官町34,935-0061,私立,社会福祉法人,小規模保育事業B型,午前7時30分から午後6時30分,産休あけから2歳,
35.176917,136.91212,小規模保育事業保育ルームルナ7泉,15,愛知県名古屋市東区泉一丁目8,971-0010,私立,社会福祉法人,小規模保育事業B型,午前7時30分から午後6時30分,産休あけから2歳,
NA,NA,ALL4KIDSチャイルドケア　徳川園,19,愛知県名古屋市東区新出来1丁目5,325-4772,私立,株式会社,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
NA,NA,スクルドエンジェル保育室東白壁園,19,愛知県名古屋市東区芳野三丁目601,982-6560,私立,株式会社,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
35.190388,136.955033,スクルドエンジェル保育室だいこう園,19,愛知県名古屋市東区大幸四丁目19,739-7686,私立,株式会社,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
NA,NA,北保育園,100,愛知県名古屋市北区鳩岡町1,981-3856,公立,名古屋市,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育,子育て支援センター
35.219117,136.930276,味鋺保育園,90,愛知県名古屋市北区楠味鋺五丁目1501,901-8142,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
35.232501,136.923912,如意保育園,90,愛知県名古屋市北区三軒町272,901-3856,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
35.18821,136.906343,名城保育園,90,愛知県名古屋市北区名城三丁目3,981-4356,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
35.208673,136.913933,鳩岡保育園,100,愛知県名古屋市北区鳩岡二丁目18,913-0015,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
NA,NA,上飯田東保育園,90,愛知県名古屋市北区上飯田東町4丁目68,981-9355,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
35.200787,136.925533,尾上保育園,90,愛知県名古屋市北区尾上町1,915-8520,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
