predicted,test
8.364953292230934,8.76
8.288434002785207,9.18
11.653054129306549,10.92
8.897768945431407,6.66
7.678423453950872,5.17
7.208231056771265,6.45
12.450211866547475,10.85
9.868054578133787,9.65
9.534586912418986,10.96
5.603263617382823,5.71
6.905614501139658,8.83
12.36162445293384,11.71
7.208231056771265,6.41
7.250038802580757,7.88
5.9956967209669125,5.82
10.286343237997185,11.91
9.337209454527578,9.66
23.694526766465483,13.68
7.678423453950872,7.52
6.346147225628756,7.89
48.80303878843216,99.0
8.853248894255547,8.12
11.72609646076996,13.95
9.868054578133787,10.22
7.250038802580757,5.89
7.208231056771265,8.06
10.286343237997185,6.55
8.364953292230934,8.71
6.4266105424156,7.3
9.103169365965087,8.1
11.72609646076996,13.95
8.364953292230934,8.75
10.286343237997185,10.65
12.450211866547475,11.75
9.868054578133787,11.69
12.450211866547475,8.68
7.208231056771265,6.68
12.128461390518316,9.72
17.696220450912058,19.99
6.383425936005527,6.85
8.160323929443393,6.44
11.72609646076996,10.11
10.286343237997185,11.14
9.103169365965087,9.28
7.424964957695901,9.03
8.364953292230934,7.9
7.208231056771265,5.16
7.678423453950872,6.86
8.853248894255547,8.56
9.868054578133787,11.28
8.897768945431407,9.47
8.160323929443393,8.32
10.286343237997185,10.39
9.103169365965087,7.93
7.424964957695901,6.92
9.41406172769634,6.87
26.19315209573917,19.99
11.238033070542896,14.64
7.208231056771265,5.91
12.565313798623022,13.51
6.745711408363629,5.09
7.678423453950872,8.89
6.745711408363629,5.23
6.745711408363629,8.66
6.346147225628756,3.9
9.196059657016741,10.46
10.070845294919542,12.53
9.41406172769634,6.73
8.416727253415193,8.15
7.678423453950872,5.09
8.138110183399386,9.31
6.745711408363629,8.47
7.424964957695901,6.45
7.068666017205109,7.3
7.424964957695901,9.91
13.834788435133726,13.68
7.208231056771265,7.23
9.337209454527578,10.62
7.208231056771265,8.73
7.90258133797031,8.72
7.678423453950872,8.76
10.286343237997185,10.7
7.424964957695901,9.8
10.860533888751487,6.39
9.41406172769634,9.9
11.134756505309792,10.84
7.678423453950872,8.75
23.694526766465483,14.15
9.523850097692414,9.6
8.160323929443393,8.34
8.364953292230934,8.74
8.897768945431407,8.1
8.364953292230934,9.45
9.41406172769634,10.2
11.134756505309792,12.75
6.745711408363629,7.64
8.93548227189201,7.94
8.333663826351387,9.93
8.897768945431407,6.81
6.346147225628756,7.21
9.868054578133787,9.93
8.288434002785207,7.83
9.337209454527578,9.55
9.953828301353154,10.61
7.068666017205109,6.0
6.346147225628756,6.78
10.860533888751487,9.23
8.288434002785207,5.2
16.65352029914419,12.98
7.678423453950872,10.32
9.103169365965087,9.61
9.868054578133787,9.65
7.208231056771265,4.44
11.72609646076996,14.29
8.897768945431407,8.72
12.847178544934929,9.86
9.41406172769634,8.68
8.897768945431407,9.22
8.364953292230934,9.98
10.286343237997185,8.72
9.103169365965087,8.11
12.450211866547475,11.66
9.868054578133787,11.86
11.238033070542896,9.85
8.333663826351387,9.14
7.424964957695901,8.67
8.416727253415193,8.04
8.93548227189201,8.64
10.860533888751487,9.79
9.41406172769634,8.9
7.678423453950872,7.08
7.678423453950872,6.67
8.364953292230934,9.35
8.853248894255547,6.45
12.128461390518316,13.3
13.43921919159743,16.95
9.337209454527578,9.55
7.90258133797031,6.78
8.897768945431407,8.77
8.160323929443393,7.5
