X
8.33
7.93
11.27
8.89
7.53
6.55
12.0
10.08
9.89
4.86
6.25
12.29
6.52
6.73
5.17
10.57
9.6
16.53
7.25
5.53
75.0
8.75
11.44
10.11
6.73
6.52
10.47
8.35
5.46
9.31
11.45
7.98
10.47
11.79
10.05
11.94
6.68
12.59
15.18
5.26
7.81
11.4
10.47
9.14
6.78
8.1
6.68
7.25
8.75
9.94
8.88
7.9
10.54
9.38
6.81
9.81
35.03
11.14
6.51
13.95
5.89
7.36
5.95
5.89
5.55
9.39
10.37
9.68
8.65
7.47
7.76
5.86
6.96
6.32
7.06
13.68
6.66
9.41
6.61
7.64
7.6
10.47
6.85
10.91
9.8
11.21
7.56
16.5
9.83
7.82
8.32
8.93
8.41
9.72
11.21
5.91
9.0
8.49
8.94
5.75
9.91
7.93
9.54
10.27
6.33
5.53
11.0
7.96
20.96
7.51
9.28
10.02
6.68
11.44
8.95
14.64
9.65
8.79
8.43
10.6
9.16
11.9
10.22
11.14
8.48
7.09
8.67
9.13
11.01
9.81
7.55
7.41
8.17
8.7
12.5
13.8
9.55
7.64
8.89
7.86
9.1
8.53
8.81
10.4
6.26
7.22
7.09
11.69
8.56
7.53
7.76
6.04
14.27
27.0
10.54
9.06
9.05
7.85
13.37
8.77
12.59
10.8
12.33
6.54
10.27
5.98
14.78
7.02
9.97
5.47
13.68
7.9
7.13
8.83
6.89
7.02
9.7
6.78
9.28
10.94
9.56
6.87
8.27
8.35
8.15
9.0
10.61
9.67
10.7
8.1
29.11
11.46
6.51
7.53
7.27
9.01
17.18
9.88
16.0
9.03
9.98
11.19
10.06
10.24
18.5
9.03
6.75
9.41
7.93
8.75
7.3
13.69
9.16
10.79
8.47
6.74
10.63
6.5
8.92
7.34
8.92
11.12
6.02
6.47
8.26
7.55
7.42
7.55
9.9
8.76
11.93
9.86
9.65
9.82
9.81
10.58
10.83
8.67
7.48
8.98
10.15
7.47
9.64
6.94
7.23
11.3
5.2
9.94
7.3
4.59
10.42
10.47
9.26
9.58
6.87
12.35
10.68
8.23
13.72
6.06
9.36
11.21
7.53
14.91
8.63
5.75
10.11
10.6
